,CODIGO_CAMPUS,NOME_CAMPUS,UF_CAMPUS,MUNICIPIO_CAMPUS,CODIGO_IES,NOME_IES,SIGLA_IES,UF_IES
126,2592,Unidade Universitária de Naviraí,MS,Naviraí,1028,UNIVERSIDADE ESTADUAL DE MATO GROSSO DO SUL,UEMS,MS
127,2593,Unidade Universitária de Nova Andradina,MS,Nova Andradina,1028,UNIVERSIDADE ESTADUAL DE MATO GROSSO DO SUL,UEMS,MS
128,2594,Unidade Universitária de Paranaíba,MS,Paranaíba,1028,UNIVERSIDADE ESTADUAL DE MATO GROSSO DO SUL,UEMS,MS
129,2595,Unidade Universitária de Ponta Porã,MS,Ponta Porã,1028,UNIVERSIDADE ESTADUAL DE MATO GROSSO DO SUL,UEMS,MS
130,2706,CAMPUS DE SALINAS,MG,Salinas,367,UNIVERSIDADE ESTADUAL DE MONTES CLAROS,UNIMONTES,MG
131,2762,Campus Avançado de Prudentópolis,PR,Prudentópolis,1126,UNIVERSIDADE ESTADUAL DO CENTRO OESTE,UNICENTRO,PR
132,2763,Campus Avançado de Chopinzinho,PR,Chopinzinho,1126,UNIVERSIDADE ESTADUAL DO CENTRO OESTE,UNICENTRO,PR
133,2765,Campus Avançado de Pitanga,PR,Pitanga,1126,UNIVERSIDADE ESTADUAL DO CENTRO OESTE,UNICENTRO,PR
134,2770,Instituto Superior de Educação Dona Itália Franco,MG,Barbacena,1036,UNIVERSIDADE DO ESTADO DE MINAS GERAIS,UEMG,MG
135,2917,Unidade de Alegrete,RS,Alegrete,3336,UNIVERSIDADE ESTADUAL DO RIO GRANDE DO SUL,UERGS,RS
136,2919,Unidade de Bento Gonçalves,RS,Bento Gonçalves,3336,UNIVERSIDADE ESTADUAL DO RIO GRANDE DO SUL,UERGS,RS
137,2922,Unidade de Caxias do Sul,RS,Caxias do Sul,3336,UNIVERSIDADE ESTADUAL DO RIO GRANDE DO SUL,UERGS,RS
138,2928,Unidade de Guaíba,RS,Guaíba,3336,UNIVERSIDADE ESTADUAL DO RIO GRANDE DO SUL,UERGS,RS
139,2930,Unidade de Montenegro,RS,Montenegro,3336,UNIVERSIDADE ESTADUAL DO RIO GRANDE DO SUL,UERGS,RS
140,2932,Unidade de Sananduva,RS,Sananduva,3336,UNIVERSIDADE ESTADUAL DO RIO GRANDE DO SUL,UERGS,RS
141,2934,Unidade de Santana do Livramento,RS,Sant'Ana do Livramento,3336,UNIVERSIDADE ESTADUAL DO RIO GRANDE DO SUL,UERGS,RS
142,2937,Unidade de São Luiz Gonzaga,RS,São Luiz Gonzaga,3336,UNIVERSIDADE ESTADUAL DO RIO GRANDE DO SUL,UERGS,RS
143,2938,Unidade de Vacaria,RS,Vacaria,3336,UNIVERSIDADE ESTADUAL DO RIO GRANDE DO SUL,UERGS,RS
144,2939,Unidade de Tapes,RS,Tapes,3336,UNIVERSIDADE ESTADUAL DO RIO GRANDE DO SUL,UERGS,RS
145,2995,Centro de EducaÃ§Ã£o Superior do Oeste - CEO Campus IV,SC,ChapecÃ³,43,FUNDAÃÃO UNIVERSIDADE DO ESTADO DE SANTA CATARINA,UDESC,SC
146,3263,IFSP - Campus Sertãozinho,SP,Sertãozinho,1810,"INSTITUTO FEDERAL DE EDUCAÇÃO, CIÊNCIA E TECNOLOGIA DE SÃO PAULO",IFSP,SP
147,3265,Escola de Design / Campus de Belo Horizonte,MG,Belo Horizonte,1036,UNIVERSIDADE DO ESTADO DE MINAS GERAIS,UEMG,MG
148,3267,Escola Guignard / Campus de Belo Horizonte,MG,Belo Horizonte,1036,UNIVERSIDADE DO ESTADO DE MINAS GERAIS,UEMG,MG
149,3268,Faculdade de Educação - Campus de Belo Horizonte,MG,Belo Horizonte,1036,UNIVERSIDADE DO ESTADO DE MINAS GERAIS,UEMG,MG
150,3274,Campus SÃ£o JosÃ©,SC,SÃ£o JosÃ©,3162,"INSTITUTO FEDERAL DE EDUCAÃÃO, CIÃNCIA E TECNOLOGIA  DE SANTA CATARINA",IFSC,SC
151,3283,Autarquia Municipal de Ensino de Poços de Caldas,MG,Poços de Caldas,1036,UNIVERSIDADE DO ESTADO DE MINAS GERAIS,UEMG,MG
152,3284,Unidade de Frutal/UEMG,MG,Frutal,1036,UNIVERSIDADE DO ESTADO DE MINAS GERAIS,UEMG,MG
153,3303,CAMPUS DE PARACATU,MG,Paracatu,367,UNIVERSIDADE ESTADUAL DE MONTES CLAROS,UNIMONTES,MG
154,3313,CAMPUS UNIVERSITÁRIO DE JUARA,MT,Juara,719,UNIVERSIDADE DO ESTADO DE MATO GROSSO,UNEMAT,MT
